Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Jam2M\Project Outputs for Jam2M\Generates pick and place files\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       14/05/26
Time:       15.14
Revision:   8e14270a8656d39d1c9b9a467d6a88212d3f4d97
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U8","OLED 0.96¨","TopLayer","OLED_0.96IN_WHITE_SSD1306","3835.394","2540.000","0","By Prince"
"U7","nRF24L01","TopLayer","NRF24L01_GT24MINI_MS","5003.110","1513.819","0","nRF24L01, 2.4GHz Transceiver MODULE, SMD"
"U6","LF33CDT-TR","BottomLayer","TO228P972X240-3N","4730.000","2277.000","180","Linear Voltage Regulator IC Positive Fixed 1 Output 500mA DPAK"
"U5","nRF24L01","TopLayer","NRF24L01_GT24MINI_MS","5023.110","3093.819","0","nRF24L01, 2.4GHz Transceiver MODULE, SMD"
"U4","nRF24L01","TopLayer","NRF24L01_GT24MINI_MS","5013.110","2208.819","0","nRF24L01, 2.4GHz Transceiver MODULE, SMD"
"U3","TP4056","BottomLayer","SOP127P600X175-9N","2877.559","2120.000","0","Complete single cell Li-Ion battery with a constant current / constant voltage linear charger"
"U2","INTERFACE-CP2102-GMR(QFN28)","TopLayer","QFN28G_0.5-5X5MM","3915.000","1645.000","90","USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)"
"U1","ESP32-WROOM-32U","TopLayer","XCVR_ESP32-WROOM-32U","2210.394","2745.000","90","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount"
"SW8","SWSLIDT_SPDT_MSS3","BottomLayer","SWSLIDT_SPDT_MSS3","1875.748","1375.000","270","SWSLIDT_SPDT_MSS3"
"SW5","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","3835.000","2120.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW4","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","3415.000","2120.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW3","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","4255.000","2120.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW2","PTS645SH50SMTR92LFS","BottomLayer","FP-PTS645SH50SMTR92LFS-MFG","2035.000","3460.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","BottomLayer","FP-PTS645SH50SMTR92LFS-MFG","2001.496","2051.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"R15","390K OHM","TopLayer","RES_0805","4015.000","2737.401","0","RES 390K OHM 1% 1/16W 0805"
"R14","10K OHM","TopLayer","RES_0805","3725.000","2732.401","180","RES 10K OHM 1% 1/16W 0805"
"R13","1K OHM","BottomLayer","RES_0805","2627.401","2085.000","90","RES 1K OHM 1% 1/16W 0805"
"R11","1K OHM","BottomLayer","RES_0805","3127.401","2075.000","270","RES 1K OHM 1% 1/16W 0805"
"R10","1K OHM","BottomLayer","RES_0805","3127.598","2165.000","90","RES 1K OHM 1% 1/16W 0805"
"R9","1K OHM","TopLayer","RES_0805","3415.000","1157.598","0","RES 4.7K OHM 1% 1/16W 0805"
"R8","1K OHM","TopLayer","RES_0805","3530.000","1367.598","0","RES 4.7K OHM 1% 1/16W 0805"
"R7","5.1K OHM","TopLayer","RES_0805","4210.000","1227.401","180","RES 5.1K OHM 1% 1/16W 0805"
"R6","5.1K OHM","TopLayer","RES_0805","3640.000","1222.401","180","RES 5.1K OHM 1% 1/16W 0805"
"R5","4k7 OHM","BottomLayer","RES_0805","2320.000","3452.401","0","RES 4.7K OHM 1% 1/16W 0805"
"R4","12K OHM","TopLayer","RES_0805","3420.000","1582.401","0","RES 12K OHM 1% 1/16W 0805"
"R3","12K OHM","TopLayer","RES_0805","3330.000","1582.598","0","RES 12K OHM 1% 1/16W 0805"
"R2","470 OHM","TopLayer","RES_0805","3645.000","1662.598","0","RES 470 OHM 1% 1/16W 0805"
"R1","4k7 OHM","BottomLayer","RES_0805","2275.000","2002.598","180","RES 4.7K OHM 1% 1/16W 0805"
